layerSize,device,timestamp,value
8,1,3029.0,3846.1685180664062
8,1,3055.6,4180.908203125
8,1,3078.5,3829.9560546875
8,1,3086.0,4196.1669921875
8,1,3132.5,3839.4927978515625
8,1,3141.4,4180.908203125
8,1,3155.1,602.72216796875
8,1,3187.4,754.3563842773438
8,1,3187.5,548.3627319335938
8,1,3187.9,757.2174072265625
8,1,3188.5,529.2892456054688
8,1,3201.0,761.9857788085938
8,1,3209.7,550.2700805664062
8,1,3210.1,758.1710815429688
8,1,3217.3,551.2237548828125
8,1,3217.7,755.31005859375
8,1,3217.8,555.9921264648438
8,1,3221.8,762.939453125
8,1,3221.9,564.5751953125
8,1,3222.3,763.8931274414062
8,1,3234.0,539.7796630859375
8,1,3234.4,757.2174072265625
8,1,3235.5,536.9186401367188
8,1,3243.5,760.0784301757812
8,1,3248.2,554.0847778320312
8,1,3254.6,799.1790771484375
8,1,3288.0,552.1774291992188
8,1,3300.1,7614.1357421875
8,1,3301.2,6210.3271484375
8,1,3302.4,7690.4296875
8,1,3303.2,6317.138671875
8,1,3325.5,7705.6884765625
8,1,3353.2,6286.62109375
8,1,3353.6,7888.7939453125
8,1,3385.5,6256.103515625
8,1,3397.4,7781.982421875
8,1,3401.1,6301.8798828125
8,1,3437.9,7476.806640625
8,1,3447.6,6256.103515625
8,1,3447.8,7476.806640625
8,1,3458.1,6271.3623046875
8,1,3460.0,7873.53515625
8,1,3475.3,6225.5859375
8,1,3510.4,7827.7587890625
8,1,3511.6,6332.3974609375
8,1,3523.0,7766.7236328125
8,1,3553.5,6378.173828125
8,1,3554.5,7888.7939453125
8,1,3559.6,6225.5859375
8,1,3579.7,7873.53515625
8,1,3580.3,6301.8798828125
8,1,3604.9,7675.1708984375
8,1,3622.7,6240.8447265625
8,1,3623.8,7751.46484375
8,1,3641.4,6317.138671875
8,1,3642.7,7797.2412109375
8,1,3644.4,6362.9150390625
8,1,3655.3,7568.359375
8,1,3688.8,6347.65625
8,1,3690.8,7690.4296875
8,1,3719.6,6332.3974609375
8,1,3720.0,7904.052734375
8,1,3720.6,6271.3623046875
8,1,3736.2,7873.53515625
8,1,3736.8,6347.65625
8,1,3742.7,7827.7587890625
8,1,3743.3,6332.3974609375
8,1,3771.9,7827.7587890625
8,1,3773.1,6271.3623046875
8,1,3788.1,7751.46484375
8,1,3788.8,6317.138671875
8,1,3794.6,7705.6884765625
8,1,3822.6,6271.3623046875
8,1,3833.5,7492.0654296875
8,1,3839.2,6210.3271484375
8,1,3869.2,7843.017578125
8,1,3870.5,6378.173828125
8,1,3898.4,7690.4296875
8,1,3913.4,6347.65625
8,1,3914.6,7659.912109375
8,1,3919.0,6256.103515625
8,1,3921.1,7781.982421875
8,1,3949.2,6362.9150390625
8,1,3950.3,7843.017578125
8,1,3953.8,6286.62109375
8,1,3963.7,7766.7236328125
8,1,3964.4,6347.65625
8,1,3966.5,7705.6884765625
8,1,4003.3,6301.8798828125
8,1,4018.4,7904.052734375
8,1,4038.1,6225.5859375
8,1,4063.8,7766.7236328125
8,1,4076.4,6378.173828125
8,1,4076.8,7812.5
8,1,4077.9,6362.9150390625
8,1,4093.0,7766.7236328125
8,1,4115.3,6423.9501953125
8,1,4115.7,7812.5
8,1,4137.5,6240.8447265625
8,1,4144.9,7812.5
8,1,4160.8,6317.138671875
8,1,4161.1,7843.017578125
8,1,4162.3,6271.3623046875
8,1,4167.6,7843.017578125
8,1,4168.8,6256.103515625
8,1,4190.3,7843.017578125
8,1,4191.5,6332.3974609375
8,1,4235.7,7812.5
8,1,4236.4,6393.4326171875
8,1,4258.4,7781.982421875
8,1,4279.8,6332.3974609375
8,1,4281.1,7812.5
8,1,4282.4,6271.3623046875
8,1,4297.3,7781.982421875
8,1,4300.0,6378.173828125
8,1,4320.0,7446.2890625
