addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,TX,1733753803.373,1733753803.431,868300000,21,5,
00:80:E1:15:05:AB:D0:6C,TX,1733753863.379,1733753863.432,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1733753923.385,1733753923.438,868100000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1733753983.390,1733753983.444,867500000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1733754043.396,1733754043.450,867500000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754043.396,1733754044.538,867500000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1733754044.554,1733754044.603,868500000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754044.554,1733754045.666,868500000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1733754049.554,1733754049.602,867100000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754049.554,1733754050.665,867100000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1733754050.673,1733754050.726,868100000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754337.683,1733754352.050,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754352.061,1733754356.072,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754356.084,1733754361.096,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754361.107,1733754366.119,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754366.131,1733754370.145,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754370.157,1733754375.165,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754375.177,1733754380.184,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754380.196,1733754384.213,869525000,0,5,
00:80:E1:15:05:AB:D0:6C,RX,1733754384.224,1733754389.270,869525000,0,5,
00:80:E1:15:05:AB:CD:7C,TX,1733753785.353,1733753785.726,868100000,21,2,
00:80:E1:15:05:AB:CD:7C,TX,1733753845.359,1733753845.691,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733753905.365,1733753905.697,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733753965.371,1733753965.703,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754025.377,1733754025.709,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754085.383,1733754085.715,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754145.388,1733754145.720,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754205.394,1733754205.726,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754265.400,1733754265.732,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754325.406,1733754325.738,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754385.412,1733754385.744,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754445.418,1733754445.750,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754505.424,1733754505.756,867300000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754565.429,1733754565.762,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754625.435,1733754625.767,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754685.441,1733754685.773,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754745.447,1733754745.779,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754805.453,1733754805.785,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754865.459,1733754865.791,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754925.465,1733754925.797,867900000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733754985.470,1733754985.803,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755045.476,1733755045.808,867500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755105.482,1733755105.814,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755165.488,1733755165.820,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755225.494,1733755225.826,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755285.500,1733755285.832,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755345.506,1733755345.838,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733755405.512,1733755405.844,868100000,18,2,
