addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:CD:7C,RX,1731776217.301,1731776223.322,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776223.330,1731776230.350,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776230.358,1731776236.384,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776236.392,1731776242.400,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776242.408,1731776248.419,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776248.427,1731776255.450,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776255.458,1731776261.479,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776261.487,1731776267.514,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776267.522,1731776273.536,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776273.544,1731776280.558,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776280.566,1731776286.584,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776286.592,1731776292.609,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776292.617,1731776298.638,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776298.645,1731776305.668,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776305.676,1731776311.691,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776311.700,1731776317.712,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776317.720,1731776323.737,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776323.745,1731776330.766,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776330.774,1731776336.789,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776336.797,1731776342.820,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776342.828,1731776349.843,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776349.851,1731776355.872,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776355.880,1731776361.897,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776361.905,1731776367.924,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776367.931,1731776374.958,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776374.966,1731776380.978,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776380.986,1731776386.998,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776387.006,1731776393.027,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776393.035,1731776400.059,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776400.067,1731776406.083,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776406.091,1731776412.097,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776412.105,1731776418.127,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776418.135,1731776425.157,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731776425.165,1731776431.190,869525000,0,2,
