addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:CD:7C,RX,1731768683.580,1731768689.605,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768689.613,1731768695.634,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768695.642,1731768702.666,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768702.674,1731768708.691,869525000,0,2,
00:80:E1:15:05:AB:CD:7C,RX,1731768708.699,1731768714.721,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,TX,1731767749.912,1731767749.971,868500000,21,5,
00:80:E1:15:05:AB:D0:6C,TX,1731767809.918,1731767809.972,867900000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731767869.924,1731767869.977,868100000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731767929.930,1731767929.983,867500000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731767989.935,1731767989.989,867700000,18,5,
00:80:E1:15:05:AB:D0:6C,TX,1731768049.941,1731768049.995,867100000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731768049.941,1731768051.083,867100000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731768051.098,1731768051.146,867100000,15,5,
00:80:E1:15:05:AB:D0:6C,RX,1731768051.098,1731768052.209,867100000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731768056.098,1731768056.145,868300000,15,5,
00:80:E1:15:05:AB:D0:6C,TX,1731768109.947,1731768110.001,868500000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731768109.947,1731768111.063,868500000,0,5,
00:80:E1:15:05:AB:D0:6C,TX,1731768111.070,1731768111.124,867900000,18,5,
00:80:E1:15:05:AB:D0:6C,RX,1731768392.081,1731768394.309,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768394.316,1731768400.334,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768400.341,1731768407.363,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768407.371,1731768413.390,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768413.397,1731768419.417,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768419.424,1731768425.444,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768425.452,1731768432.477,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768432.485,1731768438.504,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768438.512,1731768444.533,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768444.541,1731768450.562,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768450.570,1731768457.595,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768457.602,1731768463.622,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768463.630,1731768469.653,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768469.661,1731768475.682,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768475.689,1731768482.709,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768482.716,1731768488.733,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768488.741,1731768494.758,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768494.766,1731768500.788,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768500.797,1731768507.818,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768507.826,1731768513.838,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768513.845,1731768519.863,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768519.872,1731768525.895,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768525.903,1731768532.927,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768532.934,1731768538.952,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768538.961,1731768544.983,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768544.991,1731768551.012,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768551.019,1731768558.043,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768558.051,1731768564.070,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768564.078,1731768570.086,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768570.094,1731768576.115,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768576.123,1731768583.144,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768583.152,1731768589.174,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768589.182,1731768595.199,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768595.207,1731768602.228,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768602.236,1731768608.256,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768608.264,1731768614.280,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768614.288,1731768620.305,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768620.311,1731768627.330,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768627.338,1731768633.355,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768633.363,1731768639.381,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768639.389,1731768645.404,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768645.412,1731768652.432,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768652.440,1731768658.458,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768658.466,1731768664.482,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768664.489,1731768670.510,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768670.517,1731768677.537,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768677.545,1731768683.562,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768683.570,1731768689.595,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768689.602,1731768695.624,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768695.632,1731768702.656,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768702.664,1731768708.680,869525000,0,2,
00:80:E1:15:05:AB:D0:6C,RX,1731768708.686,1731768714.710,869525000,0,2,
00:80:E1:15:00:0A:D5:68,TX,1731767786.639,1731767786.745,867500000,21,4,
00:80:E1:15:00:0A:D5:68,TX,1731767846.645,1731767846.740,868500000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731767906.651,1731767906.746,867100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731767966.657,1731767966.752,868100000,18,4,
00:80:E1:15:00:0A:D5:68,TX,1731768026.663,1731768026.758,868500000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731768026.663,1731768027.924,868500000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731768027.938,1731768028.034,867700000,15,4,
00:80:E1:15:00:0A:D5:68,TX,1731768086.669,1731768086.764,868100000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731768086.669,1731768087.879,868100000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731768091.766,1731768091.861,867300000,15,4,
00:80:E1:15:00:0A:D5:68,RX,1731768091.766,1731768092.975,867300000,0,4,
00:80:E1:15:00:0A:D5:68,TX,1731768092.983,1731768093.078,867500000,18,4,
00:80:E1:15:00:0A:D5:68,RX,1731768392.994,1731768394.324,869525000,0,2,
