addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,RX,1733750119.249,1733750135.890,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750135.895,1733750140.300,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750140.308,1733750161.358,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750161.367,1733750181.459,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750181.467,1733750202.558,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750202.566,1733750223.619,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750223.628,1733750243.675,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750243.684,1733750264.747,869525000,0,0,
00:80:E1:15:05:AB:D0:6C,RX,1733750264.755,1733750285.847,869525000,0,0,
00:80:E1:15:05:AB:CD:7C,TX,1733748608.361,1733748608.734,867700000,21,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748668.367,1733748668.699,868500000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748728.372,1733748728.704,867100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748788.378,1733748788.710,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748848.384,1733748848.716,868300000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1733748848.384,1733748850.257,868300000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748850.274,1733748850.606,867700000,15,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748908.390,1733748908.722,868100000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1733748908.390,1733748910.099,868100000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748913.991,1733748914.323,867500000,15,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748968.396,1733748968.728,867700000,18,2,
00:80:E1:15:05:AB:CD:7C,RX,1733748968.396,1733748970.105,867700000,0,2,
00:80:E1:15:05:AB:CD:7C,TX,1733748970.113,1733748970.445,868500000,18,2,
