DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
ALL,674.619529964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,695.337097964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,716.054665964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,716.054665964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,716.054665964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,716.054665964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,736.772233964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,736.772233964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,736.772233964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,736.772233964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,757.489801964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,757.489801964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,757.489801964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,757.489801964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,778.207369964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,778.207369964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,778.207369964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
ALL,778.207369964,2000,RX,0110110|0000000000000011101001011,4,1,2000,0,200,BASELINE
ALL,798.924937964,2000,RX,0110110|0000000000000011101001000,4,1,2000,0,200,BASELINE
ALL,798.924937964,2000,RX,0110110|0000000000000011101001001,4,1,2000,0,200,BASELINE
ALL,798.924937964,2000,RX,0110110|0000000000000011101001010,4,1,2000,0,200,BASELINE
