DR,timestamp,threshold,event,device,nb_ED,seed,objSize,distance,fport,policy
0,1503.203712624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1523.921280624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1544.638848624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1565.356416624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1586.073984624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1606.791552624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1627.509120624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1648.226688624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
0,1668.944256624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,12.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,42.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,72.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,102.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,132.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,162.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,192.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,222.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,252.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,282.308480010,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,311.102912400,,TX,0110110|0000000000000011101001000,1,1,2000,0,28,FIXED_BY_USER
1,311.102912400,,RX,0110110|0000000000000011101001000,1,1,2000,0,202,FIXED_BY_USER
1,317.947392360,,TX,0110110|0000000000000011101001000,1,1,2000,0,29,FIXED_BY_USER
1,317.947392360,,RX,0110110|0000000000000011101001000,1,1,2000,0,204,FIXED_BY_USER
1,611.279232624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,622.375296624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,633.471360624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,644.567424624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,655.663488624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,666.759552624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,677.855616624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,688.951680624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,700.047744624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,711.143808624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,722.239872624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,733.335936624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
1,744.432000624,,RX,0110110|0000000000000011101001000,1,1,2000,0,200,FIXED_BY_USER
