addr,event,start,end,freq,size,DR,sample
00:80:E1:15:05:AB:D0:6C,TX,1731921052.688,1731921052.742,868100000,18,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921052.688,1731921055.995,868100000,0,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731921082.694,1731921082.748,868300000,18,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731921112.700,1731921112.753,867700000,18,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731921142.706,1731921142.759,868100000,18,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921142.706,1731921143.847,868100000,0,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731921143.864,1731921143.913,867300000,15,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921143.864,1731921144.975,867300000,0,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731921148.864,1731921148.913,867500000,15,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921148.864,1731921149.975,867500000,0,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731921149.982,1731921150.036,867100000,18,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921410.993,1731921451.364,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921451.376,1731921456.386,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921456.398,1731921460.409,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921460.420,1731921465.438,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921465.450,1731921469.457,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921469.468,1731921474.474,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921474.486,1731921479.500,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921479.511,1731921483.526,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,RX,1731921483.538,1731921488.544,869525000,0,5,3
00:80:E1:15:05:AB:D0:6C,TX,1731923415.346,1731923415.405,868300000,21,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923445.352,1731923445.406,867700000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923475.358,1731923475.412,868100000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923505.364,1731923505.418,867300000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923535.370,1731923535.423,867500000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923565.376,1731923565.429,867100000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923595.381,1731923595.435,867300000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923625.387,1731923625.441,868100000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923655.393,1731923655.447,868500000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923685.399,1731923685.453,867700000,18,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923715.405,1731923715.459,868100000,18,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731923715.405,1731923716.546,868100000,0,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923716.563,1731923716.612,867300000,15,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731923716.563,1731923717.674,867300000,0,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923721.564,1731923721.613,867500000,15,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731923721.564,1731923722.675,867500000,0,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731923722.682,1731923722.736,867100000,18,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924017.693,1731924024.121,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924024.132,1731924028.139,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924028.151,1731924033.163,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924033.175,1731924038.185,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924038.197,1731924042.203,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924042.215,1731924047.226,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924047.238,1731924052.250,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924052.261,1731924056.264,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,RX,1731924056.276,1731924061.294,869525000,0,5,4
00:80:E1:15:05:AB:D0:6C,TX,1731924308.577,1731924308.636,868300000,21,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924338.583,1731924338.637,868500000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924368.589,1731924368.643,867900000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924398.595,1731924398.649,868100000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924428.601,1731924428.654,867500000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924458.607,1731924458.660,867700000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924488.612,1731924488.666,868500000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924518.618,1731924518.672,867100000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924548.624,1731924548.678,868300000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924578.630,1731924578.684,868500000,18,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924608.636,1731924608.690,867900000,18,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924608.636,1731924609.778,867900000,0,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924609.794,1731924609.843,867900000,15,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924609.794,1731924610.905,867900000,0,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924614.794,1731924614.843,867500000,15,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924614.794,1731924615.905,867500000,0,5,5
00:80:E1:15:05:AB:D0:6C,TX,1731924615.912,1731924615.966,867500000,18,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924913.923,1731924917.262,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924917.274,1731924921.281,869525000,0,5,5
00:80:E1:15:05:AB:D0:6C,RX,1731924921.294,1731924926.293,869525000,0,5,5
